snapped_at,price,market_cap,total_volume
2013-09-06 00:00:00 UTC,1.931785848,40538197.68923972,0.0
2013-09-07 00:00:00 UTC,2.0126927639999996,42306459.76056745,0.0
2013-09-08 00:00:00 UTC,1.934448236,40726576.96930391,0.0
2013-09-09 00:00:00 UTC,2.00061913016,42172611.00489374,0.0
2013-09-10 00:00:00 UTC,1.905540485,40213630.67347912,0.0
2013-09-11 00:00:00 UTC,1.97565204,41739560.95383886,0.0
2013-09-12 00:00:00 UTC,1.9228633438,40674290.127763666,0.0
2013-09-13 00:00:00 UTC,1.87466221527,39706058.19949351,0.0
2013-09-14 00:00:00 UTC,1.8506370630000002,39255306.05141998,0.0
2013-09-15 00:00:00 UTC,1.9192302599999997,40776407.37865691,0.0
2013-09-16 00:00:00 UTC,1.87872996,39970506.03396752,0.0
2013-09-17 00:00:00 UTC,1.8840927987000002,40143762.66746517,0.0
2013-09-18 00:00:00 UTC,1.82217804372,38877681.00975342,0.0
2013-09-19 00:00:00 UTC,1.80541174206,38579265.9206716,0.0
2013-09-20 00:00:00 UTC,1.814404305,38819869.74175733,0.0
2013-09-21 00:00:00 UTC,1.800952464,38583119.35622003,0.0
2013-09-22 00:00:00 UTC,1.790173575,38399545.516812615,0.0
2013-09-23 00:00:00 UTC,1.76730176,37962578.13020887,0.0
2013-09-24 00:00:00 UTC,1.760358336,37863357.663528055,0.0
2013-09-25 00:00:00 UTC,1.74126856709,37507781.55607775,0.0
2013-09-26 00:00:00 UTC,1.706454485,36814693.904919736,0.0
2013-09-27 00:00:00 UTC,1.6895864999999999,36493956.98018022,0.0
2013-09-28 00:00:00 UTC,1.625504908,35154375.0383157,0.0
2013-09-29 00:00:00 UTC,1.58510673,34322937.343607776,0.0
2013-09-30 00:00:00 UTC,1.537366647,33327405.968723856,0.0
2013-10-01 00:00:00 UTC,1.6590101039999998,36012202.19225831,0.0
2013-10-02 00:00:00 UTC,1.35142776351,29373676.873933453,0.0
2013-10-03 00:00:00 UTC,1.4814955499999998,32245405.645852946,0.0
2013-10-04 00:00:00 UTC,1.57428983956,34314940.68107443,0.0
2013-10-05 00:00:00 UTC,1.52260076104,33229074.6212463,0.0
2013-10-06 00:00:00 UTC,1.519062873,33196296.6126259,0.0
2013-10-07 00:00:00 UTC,1.5165578249999998,33183713.457914304,0.0
2013-10-08 00:00:00 UTC,1.4968614458700003,32797419.706639323,0.0
2013-10-09 00:00:00 UTC,1.4189774250000002,31129941.352014475,0.0
2013-10-10 00:00:00 UTC,1.424989419,31299026.306116894,0.0
2013-10-11 00:00:00 UTC,1.47677686044,32479036.774092108,0.0
2013-10-12 00:00:00 UTC,1.4758685200000001,32499424.469098624,0.0
2013-10-13 00:00:00 UTC,1.5217187726,33553277.932163432,0.0
2013-10-14 00:00:00 UTC,1.4293948017799998,31558739.012992766,0.0
2013-10-15 00:00:00 UTC,1.493878464,33028819.123703916,0.0
2013-10-16 00:00:00 UTC,1.281568572,28374430.810246326,0.0
2013-10-17 00:00:00 UTC,1.371672718,30408258.8190185,0.0
2013-10-18 00:00:00 UTC,1.3911435876,30878716.113893844,0.0
2013-10-19 00:00:00 UTC,1.33425567424,29657624.246171433,0.0
2013-10-20 00:00:00 UTC,1.33888032648,29800586.774481095,0.0
2013-10-21 00:00:00 UTC,1.305459475,29093328.652767792,0.0
2013-10-22 00:00:00 UTC,1.1693526250000001,26091580.138364792,0.0
2013-10-23 00:00:00 UTC,1.3943805430079999,31149543.56074184,0.0
2013-10-24 00:00:00 UTC,1.46273419,32717475.772330604,0.0
2013-10-25 00:00:00 UTC,1.900314354,42567501.49705484,0.0
2013-10-26 00:00:00 UTC,1.544461296,34643644.73508746,0.0
2013-10-27 00:00:00 UTC,1.646695128,36993157.379373096,0.0
2013-10-28 00:00:00 UTC,1.48508190216,33408316.112696975,0.0
2013-10-29 00:00:00 UTC,1.572389567,35415782.7710444,0.0
2013-10-30 00:00:00 UTC,1.48602440976,33513404.838738322,0.0
2013-10-31 00:00:00 UTC,1.626841246,36727880.157983445,0.0
2013-11-01 00:00:00 UTC,1.672405917,37803301.142120585,0.0
2013-11-02 00:00:00 UTC,1.77208391952,40105611.658698015,0.0
2013-11-03 00:00:00 UTC,2.22763789,50477700.14099345,0.0
2013-11-04 00:00:00 UTC,2.3527429404,53384424.44618391,0.0
2013-11-05 00:00:00 UTC,2.25575231565,51252591.79863772,0.0
2013-11-06 00:00:00 UTC,2.23532128296,50852758.96335599,0.0
2013-11-07 00:00:00 UTC,3.1628077236,72048892.55488373,0.0
2013-11-08 00:00:00 UTC,3.402905785,77621274.5049843,0.0
2013-11-09 00:00:00 UTC,2.997380552,68473936.11538842,0.0
2013-11-10 00:00:00 UTC,2.854972423,65317463.68276206,0.0
2013-11-11 00:00:00 UTC,2.8904454644,66211844.74751394,0.0
2013-11-12 00:00:00 UTC,2.899442655,66498984.251119055,0.0
2013-11-13 00:00:00 UTC,3.218845584,73916417.80391347,0.0
2013-11-14 00:00:00 UTC,3.122243058,71791114.7123456,0.0
2013-11-15 00:00:00 UTC,3.0014582400000003,69098647.42119,0.0
2013-11-16 00:00:00 UTC,3.124872650334,72038913.9369085,0.0
2013-11-17 00:00:00 UTC,3.201260640956,73897394.8697937,0.0
2013-11-18 00:00:00 UTC,4.913900184,113576655.90721717,0.0
2013-11-19 00:00:00 UTC,5.677192983,131400857.40080917,0.0
2013-11-20 00:00:00 UTC,6.10866698428,141586940.24175978,0.0
2013-11-21 00:00:00 UTC,7.066809487,164003985.00839183,0.0
2013-11-22 00:00:00 UTC,6.69394455096,155549813.23484612,0.0
2013-11-23 00:00:00 UTC,7.48094142266,174057134.13920566,0.0
2013-11-24 00:00:00 UTC,7.45936905256,173795034.05566826,0.0
2013-11-25 00:00:00 UTC,7.74667814,180723741.79783067,0.0
2013-11-26 00:00:00 UTC,11.50688519825,268795567.7124111,0.0
2013-11-27 00:00:00 UTC,19.313431048650003,451710095.90586615,0.0
2013-11-28 00:00:00 UTC,36.83788729061,862807491.6731229,0.0
2013-11-29 00:00:00 UTC,26.87566921365,630497609.8089285,0.0
2013-11-30 00:00:00 UTC,28.46623643727,668680205.8488463,0.0
2013-12-01 00:00:00 UTC,24.87469257,585107294.5878583,0.0
2013-12-02 00:00:00 UTC,24.057173039,566695387.189221,0.0
2013-12-03 00:00:00 UTC,25.421179223,599693041.159904,0.0
2013-12-04 00:00:00 UTC,31.57841697,745918271.6863706,0.0
2013-12-05 00:00:00 UTC,28.77720802554,680632538.6254483,0.0
2013-12-06 00:00:00 UTC,21.41810217855,507349691.505496,0.0
2013-12-07 00:00:00 UTC,16.81497727008,398863737.22918695,0.0
2013-12-08 00:00:00 UTC,19.6618983,467103628.5546892,0.0
2013-12-09 00:00:00 UTC,23.05879864692,548608988.025975,0.0
2013-12-10 00:00:00 UTC,25.8984373725,616927764.1372948,0.0
2013-12-11 00:00:00 UTC,22.464643121119998,535843336.62376994,0.0
2013-12-12 00:00:00 UTC,22.883770291,546595833.3425856,0.0
2013-12-13 00:00:00 UTC,22.989876362,549822250.7455698,0.0
2013-12-14 00:00:00 UTC,21.960592090779997,525927455.9371376,0.0
2013-12-15 00:00:00 UTC,22.87845306558,548572500.9668587,0.0
2013-12-16 00:00:00 UTC,18.18940137888,436683726.9919384,0.0
2013-12-17 00:00:00 UTC,16.09470877,386880457.3016977,0.0
2013-12-18 00:00:00 UTC,10.582523028,254717011.88899845,0.0
2013-12-19 00:00:00 UTC,14.04890261885,338544021.2719639,0.0
2013-12-20 00:00:00 UTC,12.767659394,308002444.63301086,0.0
2013-12-21 00:00:00 UTC,12.29035620225,296824294.5592996,0.0
2013-12-22 00:00:00 UTC,12.20655294755,295106747.0022871,0.0
2013-12-23 00:00:00 UTC,13.19388057,319335343.7080351,0.0
2013-12-24 00:00:00 UTC,12.78819010167,309866056.20454943,0.0
2013-12-25 00:00:00 UTC,15.081180422,365864037.6009001,0.0
2013-12-26 00:00:00 UTC,18.36982967064,446167194.8986273,0.0
2013-12-27 00:00:00 UTC,16.9430664,412044226.5347543,25131703.22712124
2013-12-28 00:00:00 UTC,16.514724744,402184611.30306125,10216715.992632644
2013-12-29 00:00:00 UTC,17.212818740880003,419712930.90468353,5012262.884108448
2013-12-30 00:00:00 UTC,17.86531135865,436159102.5104223,11744672.369908975
2013-12-31 00:00:00 UTC,17.81923988805,435543955.8648955,6086998.697060516
2014-01-01 00:00:00 UTC,17.8476016914,436751195.1576511,5921976.970925918
2014-01-02 00:00:00 UTC,19.215005853190004,470755000.22833127,13393378.689013876
